time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
1.841261999999999855e-05,3.394677733492889389e-04,3.808681000000000067e-04,1.086999059535599521e+01
1.842743000000000121e-05,3.399906999999999973e-04,3.816477117266963369e-04,1.091504296939884355e+01
1.849619000000000019e-05,3.429421404031627804e-04,3.852673000000000035e-04,1.098592057951381307e+01
1.854251999999999878e-05,3.449308000000000213e-04,3.898425607178463391e-04,1.152048679219296190e+01
1.858645999999999958e-05,3.467394134440004863e-04,3.941818000000000145e-04,1.203566135118352065e+01
1.864010999999999864e-05,3.489477000000000269e-04,3.965310416928238238e-04,1.199990333409625975e+01
1.867885000000000159e-05,3.504297814347058721e-04,3.982273999999999948e-04,1.200259413724272228e+01
1.875887999999999953e-05,3.534915000000000019e-04,4.020875072074253393e-04,1.208592814657035852e+01
1.880274999999999883e-05,3.550017528166134889e-04,4.042035000000000137e-04,1.217251883850251737e+01
1.888119000000000074e-05,3.577020999999999781e-04,4.071510027709270615e-04,1.214510155553963422e+01
1.894061000000000025e-05,3.598263424798531728e-04,4.093837999999999817e-04,1.210537825877497120e+01
1.900651999999999976e-05,3.621825999999999973e-04,4.137176948394584008e-04,1.245658464268887577e+01
1.906985999999999905e-05,3.655257821282249862e-04,4.178825999999999960e-04,1.252907344593314143e+01
1.909682999999999856e-05,3.669492999999999800e-04,4.189814621987846357e-04,1.241872657700023375e+01
1.917795999999999892e-05,3.712871999999999982e-04,4.222870124467416396e-04,1.207704971821118356e+01
1.921302999999999924e-05,3.727889883917774767e-04,4.237158999999999999e-04,1.201911743416343903e+01
1.923584999999999981e-05,3.737661999999999994e-04,4.246352723622265520e-04,1.197947407412583409e+01
1.929681999999999933e-05,3.767592000000000163e-04,4.270916322625311701e-04,1.178492587080049603e+01
1.935747000000000018e-05,3.795109898987833355e-04,4.295351000000000204e-04,1.164610531274782446e+01
1.939463000000000103e-05,3.811970000000000029e-04,4.327441162635987265e-04,1.191168506429782958e+01
1.948524000000000049e-05,3.846146906197489708e-04,4.405688999999999959e-04,1.270044467057275739e+01
1.949580000000000060e-05,3.850130000000000219e-04,4.411279930193439790e-04,1.272079621047382858e+01
1.961502999999999980e-05,3.956381999999999824e-04,4.474405555852894296e-04,1.157748329664208953e+01
1.961602999999999860e-05,3.956831622276879069e-04,4.474934999999999872e-04,1.157789728170623356e+01
1.972887000000000140e-05,4.007567000000000182e-04,4.525156495342648206e-04,1.143804630569921876e+01
